2023-12-18 09:48:59,579 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:01:36,941 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:01:37,943 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:01:38,945 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:01:39,947 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:01:40,950 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:01:41,951 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:01:42,954 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:01:43,955 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:01:44,957 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:01:45,959 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:01:46,961 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:01:47,963 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:01:48,966 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:01:49,967 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:01:50,970 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:01:51,971 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:01:52,973 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:01:53,976 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:03:15,105 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:03:16,107 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:03:17,109 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:03:18,111 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:03:19,112 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:03:20,114 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:03:21,115 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:03:22,118 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:03:23,119 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:03:24,121 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:03:25,123 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:03:26,126 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:05:39,866 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:05:40,867 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:05:41,870 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:05:42,872 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:05:43,875 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:05:44,877 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:05:45,879 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:05:46,881 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:05:47,883 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:05:48,886 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:06:39,411 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:06:40,413 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:06:41,415 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:06:42,417 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:06:43,420 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:06:44,423 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:06:45,425 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:07:29,914 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:07:30,917 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:07:31,919 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:07:32,921 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:07:33,923 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:07:34,926 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:07:35,927 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:07:36,930 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:07:37,931 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:07:38,933 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:07:39,935 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:07:40,936 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:07:41,939 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:07:42,941 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:08:12,977 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:08:13,979 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:08:14,981 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:08:15,983 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:08:16,985 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:08:17,988 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:09:55,646 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:09:56,647 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:09:57,649 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:09:58,651 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:09:59,653 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:00,655 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:01,657 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:02,659 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:03,661 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:04,663 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:05,665 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:06,667 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:07,669 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:08,671 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:09,673 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:10,675 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:11,677 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:12,679 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:13,681 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:14,683 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:15,686 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:16,687 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:17,689 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:18,692 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:19,694 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:20,697 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:21,699 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:22,701 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:23,703 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:24,705 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:25,708 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:26,711 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:27,713 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:28,715 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:29,718 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:30,720 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:31,723 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:32,725 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:33,727 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:34,730 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:35,732 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:36,735 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:37,737 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:38,740 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:39,742 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:40,744 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:41,746 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:42,749 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:43,751 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:44,753 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:45,756 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:46,759 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:47,761 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:48,763 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:49,765 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:50,767 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:51,769 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:52,771 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:10:53,773 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:11:37,669 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:11:38,671 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:11:39,673 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:11:40,675 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:17:26,565 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:17:27,566 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:17:28,569 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:17:29,571 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:17:30,572 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:17:31,575 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:17:32,577 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:17:33,578 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:17:34,579 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:17:35,581 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:17:36,583 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:17:37,586 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:17:38,587 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:17:39,590 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:21:32,077 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:21:33,080 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:21:34,082 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:21:35,083 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:21:36,085 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:21:37,087 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:21:38,088 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:21:39,091 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:21:40,093 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:21:41,096 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:21:42,098 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:21:43,101 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:21:44,103 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:21:45,105 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:21:46,108 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:21:47,111 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:21:48,113 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:21:49,116 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:24:10,368 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:24:11,371 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:24:12,373 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:24:13,375 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:24:14,378 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:24:15,380 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:24:16,382 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:29:38,360 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:29:39,362 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:29:40,365 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:29:41,367 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:29:42,370 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:29:43,371 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:29:44,373 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:29:45,375 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:29:46,378 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:29:47,381 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:29:48,383 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:29:49,386 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:29:50,388 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:29:51,390 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:29:52,392 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:29:53,395 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:29:54,397 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:29:55,399 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:29:56,401 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:29:57,403 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:29:58,405 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:30:04,155 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:30:05,157 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:30:06,160 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:30:07,162 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:30:08,163 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:30:09,166 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:30:10,168 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:30:11,171 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:30:12,174 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:30:13,176 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:30:14,178 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:30:15,181 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:30:16,183 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:30:17,186 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:30:18,188 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:30:19,190 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:31:29,968 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:31:30,970 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:31:31,972 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:31:32,975 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:31:33,977 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:31:34,978 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:31:35,980 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:31:36,983 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:31:37,986 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:31:38,988 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
2023-12-18 10:31:39,991 - Frame_Processor - ERROR - the JSON object must be str, bytes or bytearray, not NoneType
